	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell18	0	44	13	28	50	0	48	1	51	0	57	0	54	0	57	0	58	0	46	0	56	0	27	17	54	1	29	19	50	0
cell19	4	56	42	19	46	0	28	22	36	0	45	0	52	0	49	0	54	0	53	0	42	1	54	0	40	0	48	0	44	14
cell20	0	60	48	0	58	0	59	0	53	0	49	0	65	0	49	0	47	0	52	0	43	0	36	0	45	0	65	0	58	0
cell21	0	47	34	0	56	0	13	32	38	2	70	0	42	0	44	0	39	3	47	5	58	0	50	0	53	0	37	0	51	0
cell22	0	46	11	31	51	1	36	13	57	3	48	0	47	0	56	2	38	1	47	0	44	0	45	0	40	2	41	0	54	0
cell23	0	49	44	8	60	0	7	40	57	2	51	0	56	0	48	1	57	0	48	0	46	0	49	0	65	1	49	0	45	0
cell24	0	58	50	5	53	6	22	18	57	1	51	0	46	1	51	0	53	0	45	0	45	0	54	1	46	0	41	1	56	0
cell25	0	51	42	4	60	0	7	38	28	12	51	0	33	0	37	0	63	0	26	12	62	0	45	0	54	1	51	3	54	1
cell26	0	42	46	6	39	0	14	33	52	16	52	0	54	2	53	0	42	0	21	30	51	0	48	0	46	0	44	0	67	1
cell27	0	48	25	20	62	1	28	28	35	24	22	29	45	13	49	6	39	0	48	0	42	0	59	0	55	0	43	2	56	0
cell28	0	47	19	30	25	23	47	1	44	2	43	0	41	0	59	2	35	12	47	3	46	0	52	0	37	0	44	0	52	0
cell29	2	48	36	12	43	0	10	35	9	33	14	39	47	0	44	5	52	0	52	0	52	0	49	3	43	4	49	0	60	0
cell30	0	48	43	1	50	0	3	53	49	0	52	1	45	0	37	5	52	2	52	0	16	37	52	0	53	0	46	0	47	0
cell31	3	43	28	28	41	2	41	0	55	0	48	0	59	0	34	0	58	0	54	1	46	0	44	0	43	0	46	0	39	0
cell32	0	53	35	18	42	0	24	24	56	5	51	0	50	0	63	1	44	0	52	21	45	0	49	0	52	0	57	0	32	1
cell33	0	59	47	6	58	2	2	50	39	13	31	0	52	0	49	0	41	0	24	13	41	0	55	1	40	0	43	2	52	0
cell34	0	58	27	25	21	30	55	1	48	3	46	0	60	0	51	0	34	3	48	0	65	0	51	0	40	0	51	7	37	0
cell35	0	45	21	26	47	0	71	0	50	0	43	0	67	0	56	0	48	1	49	0	52	0	32	23	36	0	56	0	54	0
cell36	0	54	21	40	45	4	35	6	43	4	59	0	42	0	51	0	55	0	56	0	43	0	52	0	50	0	66	1	46	1
cell37	0	69	39	5	36	0	35	18	41	13	57	0	51	0	45	1	45	0	35	2	46	0	68	3	41	0	65	0	37	10
cell38	0	49	47	0	56	0	49	2	57	0	45	0	54	2	58	0	33	0	54	0	40	1	43	0	51	0	57	0	44	1
cell39	0	60	38	7	48	0	30	16	50	1	42	0	47	0	40	0	52	0	45	0	50	0	37	3	34	12	51	2	49	0
cell40	1	58	53	3	46	0	6	51	31	23	34	14	56	0	55	0	64	0	47	0	51	0	50	0	46	3	59	0	28	25
cell41	0	46	24	24	63	1	24	27	44	0	40	0	54	3	36	0	44	0	50	0	50	3	51	0	53	0	54	0	53	0
cell42	0	54	47	0	52	0	9	34	41	19	42	8	73	0	67	0	60	0	50	1	51	0	54	3	64	1	40	0	47	0
cell43	0	44	49	0	56	0	55	0	49	0	52	0	14	37	44	0	44	0	59	5	46	0	64	0	50	7	49	0	49	0
cell44	0	39	19	42	44	10	39	0	52	2	43	4	63	2	37	0	61	0	49	0	45	0	62	0	50	0	60	0	56	0
cell45	0	48	49	0	51	0	45	0	48	0	47	1	25	29	51	0	47	1	45	1	59	0	48	6	59	0	50	0	53	0
cell46	0	53	48	13	61	0	5	37	28	28	35	8	59	0	52	0	47	0	47	2	46	0	58	0	44	5	47	0	53	2
cell47	1	45	18	35	20	26	45	11	51	0	43	0	49	0	37	0	21	22	52	0	35	1	43	0	40	0	53	0	52	0
cell48	5	39	34	27	56	0	56	0	46	4	43	0	70	0	56	0	49	0	47	0	46	0	53	2	60	0	54	0	47	0
cell49	2	47	50	0	52	0	42	1	52	0	47	0	52	0	36	10	55	0	48	0	57	0	53	0	44	0	46	0	49	0
cell50	0	59	11	51	39	0	57	0	57	0	55	0	52	3	54	0	50	1	38	0	67	0	67	0	60	0	52	1	51	0
cell51	0	44	37	6	57	0	8	43	59	0	50	0	51	0	40	1	49	1	48	0	8	45	53	0	53	0	70	0	58	0
cell52	0	54	33	14	41	0	21	30	48	8	48	1	44	0	39	0	39	0	54	8	38	0	44	0	45	0	44	0	48	0
cell53	0	44	23	18	49	0	23	29	49	0	55	0	55	0	54	0	46	0	59	0	43	10	45	0	52	0	50	0	45	0
cell54	0	62	47	4	56	0	8	31	26	29	36	23	63	2	41	0	42	0	44	0	57	0	47	0	37	1	51	0	43	17
cell55	0	47	29	21	54	0	38	0	58	0	38	0	52	0	43	5	47	0	63	0	45	0	54	0	53	0	63	0	47	0
cell56	0	43	53	0	50	0	49	0	49	1	46	0	24	29	45	0	48	0	48	0	58	0	34	0	64	0	48	6	51	0
cell57	0	67	44	13	54	0	26	15	23	21	38	14	41	0	50	5	49	0	43	0	43	0	45	0	50	0	49	0	62	0
cell58	0	59	56	0	41	1	48	0	44	2	47	0	36	27	62	0	45	0	50	0	44	1	58	0	43	0	44	0	51	0
cell59	0	49	35	10	42	2	29	20	41	0	45	3	50	9	54	0	49	2	60	0	47	7	51	0	22	39	45	0	40	1
cell60	0	54	44	8	69	1	25	34	31	29	47	7	50	0	44	0	55	0	44	0	49	0	56	0	55	0	51	0	41	18
cell61	0	53	27	17	46	1	49	0	39	0	58	0	57	0	46	8	44	0	45	1	64	0	40	0	42	0	55	5	48	0
cell62	0	61	28	7	47	0	30	23	36	7	44	5	48	3	50	0	55	0	51	0	46	0	60	0	62	0	44	0	49	0
cell63	0	49	4	39	20	25	50	0	45	0	58	0	55	0	46	0	52	4	56	1	52	1	38	0	50	0	54	0	54	1
cell64	1	51	12	29	57	0	48	1	53	1	57	0	54	0	53	0	54	0	59	0	45	3	13	26	60	0	41	5	60	0
cell65	0	49	30	20	75	0	42	19	35	12	32	13	55	0	67	0	53	0	49	0	57	0	53	0	42	4	58	0	41	1
cell66	0	51	45	0	56	0	60	0	38	0	60	0	37	7	49	0	45	0	64	0	54	0	52	0	45	7	66	0	47	0
cell67	0	42	17	30	50	0	52	0	44	1	54	0	60	0	46	2	66	0	50	2	53	2	18	28	47	0	39	1	41	0
cell68	0	56	37	14	58	2	14	25	43	5	45	0	62	1	47	0	33	6	53	0	50	0	42	0	60	0	49	0	43	0
cell69	0	51	3	43	43	0	48	0	55	0	54	1	54	2	44	0	39	1	48	0	57	0	17	21	39	0	48	0	60	1
cell70	0	55	30	15	46	0	50	11	60	0	54	0	51	0	37	0	40	0	58	0	54	0	44	0	42	0	55	0	46	1
cell71	4	61	18	30	45	0	47	0	42	0	58	0	57	0	46	1	45	6	57	0	55	0	38	11	50	0	45	10	57	0
cell72	0	49	0	48	57	2	51	0	55	0	52	0	67	0	47	0	56	0	45	0	47	0	23	31	54	1	14	32	40	4
cell73	0	58	1	61	46	1	52	0	52	0	54	0	56	0	48	0	46	0	46	0	40	0	33	30	33	5	36	3	48	0
cell74	0	46	40	11	54	0	40	2	45	0	54	1	57	0	50	0	54	0	64	0	26	20	45	1	48	0	50	0	44	0
cell75	0	42	35	7	52	0	9	35	19	35	38	20	57	0	47	0	59	0	65	0	54	3	70	2	43	0	56	0	55	0
cell76	0	46	45	0	63	0	47	1	62	0	44	0	36	15	54	0	40	0	66	0	47	1	44	0	32	0	50	0	53	0
cell77	1	50	57	4	47	0	8	44	11	27	57	0	52	4	50	0	49	0	37	14	44	0	59	0	59	8	50	0	40	0
cell78	0	47	2	39	51	0	52	0	48	0	48	0	44	2	60	1	61	0	55	0	59	0	59	0	35	1	22	32	59	0
cell79	2	31	42	0	60	1	45	0	37	0	49	0	15	23	60	0	48	1	43	0	61	1	47	0	47	0	42	1	56	0
cell80	1	42	12	28	38	8	42	1	68	0	59	1	57	0	59	0	57	0	47	9	58	0	50	0	53	0	52	0	41	0
cell81	1	52	53	12	47	0	29	12	41	13	47	3	49	0	62	0	54	0	45	0	51	0	48	0	49	1	45	0	64	0
cell82	4	48	37	21	51	0	19	39	35	7	51	0	61	0	50	6	50	0	58	3	47	0	47	2	40	0	51	0	57	0
cell83	5	45	20	29	53	0	51	0	48	1	55	1	52	0	49	1	48	0	54	0	38	0	38	14	68	0	34	6	49	0
cell84	0	47	12	42	57	0	55	0	51	3	48	0	50	0	60	0	54	0	49	0	53	0	50	0	47	0	53	0	57	0
cell85	0	50	48	1	49	0	53	0	47	0	43	6	18	37	55	0	42	3	45	0	49	0	56	0	49	0	50	0	58	0
cell86	0	52	34	30	45	7	54	0	44	1	48	0	52	0	41	0	44	2	42	0	47	0	55	0	52	0	46	0	40	0
cell87	0	52	35	19	25	21	44	0	47	0	66	0	46	3	52	0	33	19	62	0	44	0	47	6	42	1	43	0	54	0
cell88	0	52	5	48	42	0	48	0	42	3	49	3	36	1	39	0	47	0	37	1	50	0	54	2	47	0	53	0	43	0
cell89	0	47	41	12	58	0	22	21	33	9	50	8	57	0	58	13	35	1	39	0	55	0	60	0	49	0	46	0	46	0
cell90	0	61	45	6	48	0	8	51	40	15	48	6	46	0	57	0	36	0	58	1	34	4	43	6	51	0	50	0	58	0
cell91	11	40	21	31	40	7	45	0	39	5	63	0	51	0	45	1	53	0	51	0	42	1	54	0	61	0	42	0	49	0
cell92	0	47	20	36	7	37	42	0	50	0	44	1	60	1	47	1	20	31	44	2	48	0	56	0	54	0	56	0	46	1
cell93	1	52	14	36	58	1	53	0	52	0	50	0	52	0	54	0	52	0	45	0	52	0	40	6	42	0	42	10	50	0
cell94	0	41	54	0	55	0	52	0	48	0	64	1	16	40	43	0	44	0	50	0	60	0	60	0	46	0	47	0	38	0
cell95	1	56	13	31	53	0	47	0	51	1	56	0	51	0	41	0	43	0	46	5	38	0	41	0	62	0	39	0	57	0
cell96	5	39	42	3	45	0	5	40	45	5	54	0	49	2	54	0	65	0	42	0	31	10	61	0	54	0	39	0	43	0
cell97	6	42	41	3	45	0	58	3	56	0	49	2	44	0	50	0	44	0	45	1	47	0	55	0	46	0	50	0	62	0
cell98	1	48	46	8	45	0	19	30	14	46	34	14	49	0	49	0	37	0	59	0	50	0	48	1	47	0	52	1	52	0
cell99	0	45	32	31	42	0	27	26	36	8	50	0	50	0	47	0	50	0	51	7	47	5	54	0	56	0	47	0	48	0
cell100	0	40	50	3	45	2	7	39	39	5	44	0	47	0	52	0	44	4	64	0	56	2	51	1	17	36	56	0	48	0
cell101	0	44	42	11	39	0	4	34	29	21	53	1	37	0	43	0	43	0	56	0	46	0	45	0	52	0	55	0	51	0
cell102	0	40	22	10	49	0	11	35	18	35	49	10	49	0	55	1	55	0	48	2	49	0	47	0	46	0	38	0	39	0
cell103	1	50	37	17	48	0	36	11	42	5	44	12	49	0	48	0	56	0	55	0	52	0	60	1	45	0	49	0	42	0
cell104	0	52	58	6	55	0	6	37	20	22	44	0	51	0	60	1	48	0	43	1	45	0	52	0	50	0	62	0	47	1
cell105	0	56	37	12	52	0	15	34	23	23	25	18	43	3	35	5	50	0	40	0	44	0	43	5	69	0	53	0	44	0
cell106	1	62	3	40	19	32	42	0	47	6	39	0	49	0	50	0	42	9	53	0	42	0	48	0	47	0	45	0	43	0
cell107	0	59	60	0	49	0	61	0	43	0	46	0	48	0	43	0	46	0	66	0	40	0	60	0	41	4	39	1	55	0
cell108	1	57	44	0	59	0	28	33	33	20	49	6	52	0	35	8	48	1	54	0	46	1	41	0	51	0	38	0	54	2
cell109	1	59	2	52	49	7	47	0	48	1	45	1	57	0	43	0	52	0	59	0	46	1	58	0	37	0	46	0	56	2
cell110	0	52	29	11	47	0	43	19	55	0	59	0	56	0	60	0	43	0	50	0	43	0	49	0	58	2	56	0	38	1
cell111	0	60	37	13	58	0	10	29	33	5	50	0	49	0	46	0	50	0	54	0	66	0	41	2	50	0	61	0	61	0
cell112	0	50	49	6	45	0	37	15	34	7	41	3	49	0	54	0	34	0	45	0	42	0	56	1	65	0	52	0	48	0
cell113	0	68	28	24	44	0	18	27	43	9	56	0	40	0	50	0	52	0	56	0	43	3	37	4	42	2	43	0	49	0
cell114	4	43	32	6	45	0	56	1	53	0	40	0	14	35	54	0	58	6	42	1	49	1	56	0	55	0	46	2	52	0
cell115	1	54	42	1	48	4	53	0	51	0	53	0	53	0	60	0	47	0	42	3	57	0	43	0	45	2	50	3	44	0
cell116	0	50	50	4	41	0	10	30	50	1	46	6	59	0	54	0	51	0	56	0	29	20	46	0	42	1	40	0	56	0
cell117	0	59	18	39	51	0	54	0	59	0	49	0	40	0	42	0	47	0	47	0	51	0	42	2	59	1	45	11	53	2
cell118	0	51	48	1	39	1	49	0	47	0	46	4	51	0	46	0	64	0	42	0	79	0	48	0	48	0	59	0	41	0
cell119	0	45	17	37	36	14	46	1	43	0	51	0	56	0	45	0	35	8	41	0	49	2	53	14	49	0	66	0	58	0
cell120	0	63	40	4	38	0	37	20	49	0	51	0	41	0	35	0	54	0	48	0	56	0	51	0	59	0	50	0	45	0
cell121	0	49	39	12	53	0	20	33	46	1	59	0	41	13	47	0	58	0	52	0	28	33	56	1	33	9	40	1	40	0
cell122	1	62	2	56	1	46	40	0	50	1	41	0	62	0	47	1	40	4	44	0	61	0	51	3	51	0	54	0	40	0
cell123	0	60	54	7	51	0	14	50	25	32	38	17	49	0	44	6	39	0	41	0	44	0	50	0	43	3	50	0	51	0
cell124	0	40	39	0	53	0	23	27	43	16	46	1	42	0	49	2	36	0	46	5	54	0	53	0	46	0	35	0	50	0
cell125	0	50	55	0	50	0	59	0	55	0	46	0	45	4	50	0	48	0	40	0	51	2	46	0	53	0	42	0	43	0
cell126	0	44	22	33	50	0	42	19	48	0	59	0	53	1	50	0	57	0	54	0	70	0	52	0	49	0	55	0	60	0
cell127	0	51	17	37	44	6	52	0	68	0	62	1	59	0	48	0	48	0	53	0	52	0	33	0	37	2	52	0	44	1
cell128	0	55	29	24	51	1	7	41	45	0	57	0	47	0	52	0	57	0	47	0	44	10	50	0	44	0	51	0	49	0
cell129	0	52	24	18	32	14	58	0	55	0	51	1	48	0	38	0	33	17	50	0	47	0	53	0	58	0	49	0	44	0
cell130	0	39	4	35	51	0	49	0	47	0	47	0	44	0	49	0	40	0	56	0	48	0	53	2	54	0	44	0	61	0
cell131	0	50	26	24	50	0	32	20	54	1	51	1	39	0	46	0	55	0	51	0	58	0	41	1	51	0	47	0	54	0
cell132	0	47	45	1	27	0	7	35	57	0	50	0	48	0	52	0	58	0	45	0	49	0	51	0	59	0	43	0	55	0
cell133	1	52	47	0	54	0	44	0	41	2	52	0	24	34	47	0	58	0	46	1	55	0	49	0	50	0	29	0	43	0
cell134	0	62	4	51	49	0	55	0	54	0	33	2	37	1	52	0	46	2	54	0	38	0	55	4	49	0	33	26	57	0
cell135	0	60	51	0	54	0	9	36	32	16	54	0	46	0	52	2	52	1	53	6	49	0	51	0	62	0	52	0	45	0
cell136	0	50	40	5	55	0	18	21	19	25	48	3	56	0	47	0	49	0	53	0	44	1	50	1	48	0	62	0	39	0
cell137	0	58	54	3	50	0	15	31	20	19	45	6	62	0	56	0	56	0	46	0	55	0	50	0	50	0	50	0	43	14
cell138	2	51	29	22	48	0	30	18	49	4	58	0	53	0	47	0	60	0	51	0	70	0	38	0	64	0	62	0	62	8
cell139	0	50	39	5	46	0	22	43	28	19	53	2	49	0	46	0	45	3	63	0	65	0	51	0	41	0	49	0	61	0
cell140	0	53	54	0	59	0	62	0	46	0	55	2	47	6	54	0	54	2	38	1	44	0	47	0	48	0	46	0	43	0
cell141	0	47	13	35	50	2	45	0	54	3	46	0	40	0	50	0	62	0	45	0	45	1	27	16	57	0	32	0	50	0
cell142	0	35	13	25	51	2	61	0	46	1	52	4	43	0	43	0	49	0	51	3	54	1	61	0	44	2	50	0	64	0
cell143	0	47	50	12	28	0	27	25	28	18	32	21	58	0	40	6	47	0	46	0	48	0	47	0	59	0	44	0	56	0
cell144	0	36	42	1	39	0	10	42	39	19	41	12	51	2	61	0	50	0	44	0	49	0	55	0	56	0	49	0	39	9
cell145	0	49	48	0	39	0	56	0	39	0	55	0	46	5	46	0	51	0	39	0	57	0	51	0	45	0	46	0	49	0
cell146	0	45	51	4	60	0	42	20	41	9	38	2	52	0	47	0	51	0	29	26	47	5	43	2	47	1	50	0	36	0
cell147	0	50	48	2	59	0	48	0	53	1	52	0	54	0	40	0	48	0	47	0	45	0	45	0	43	3	42	0	48	0
cell148	0	49	18	31	52	0	52	2	49	0	63	0	44	0	52	0	52	0	43	0	44	0	47	0	56	0	43	11	56	0
cell149	0	41	1	57	21	29	51	0	57	0	52	0	43	0	45	0	24	12	47	4	56	0	56	2	45	0	60	0	46	0
cell150	0	61	27	24	19	31	59	0	37	1	55	0	60	0	36	0	44	11	52	0	49	0	47	0	35	0	60	0	44	1
cell151	0	40	45	1	42	0	15	28	52	0	49	0	47	0	45	0	66	0	55	0	50	0	64	0	48	1	45	0	46	0
cell152	0	53	41	3	41	0	13	37	26	39	20	17	52	0	46	0	42	0	66	0	32	2	59	0	51	1	48	4	45	1
cell153	3	50	45	1	61	0	19	31	45	0	50	0	37	0	54	0	46	0	51	0	56	0	36	0	40	5	46	0	42	0
cell154	0	42	41	11	51	0	17	29	29	16	46	11	41	3	31	17	39	3	47	0	45	0	55	0	40	0	48	0	48	1
cell155	0	66	34	3	53	2	2	48	29	22	43	4	38	3	36	9	56	0	49	0	59	1	47	0	46	0	56	6	50	0
cell156	0	36	44	11	48	1	4	26	36	12	42	8	59	0	69	0	50	0	57	0	61	0	64	0	55	0	50	1	42	5
cell157	0	46	35	14	49	0	19	41	47	0	50	0	57	1	53	2	58	0	56	0	47	0	59	1	42	6	35	2	44	0
cell158	0	55	32	18	55	0	38	7	49	0	44	0	54	0	42	5	52	0	51	0	48	0	53	0	43	4	57	1	47	0
cell159	0	50	50	2	42	0	31	18	38	24	35	10	48	0	44	5	53	0	52	0	45	0	41	0	59	1	39	0	44	0
cell160	2	49	45	10	49	0	5	39	17	30	42	18	51	0	25	22	47	0	48	0	50	0	58	0	36	0	53	0	37	0
cell161	0	50	50	4	45	0	11	37	15	29	12	32	55	0	47	0	51	0	52	1	49	0	46	0	55	0	48	0	32	21
cell162	0	56	39	0	36	1	46	0	50	0	53	1	42	2	50	0	53	2	52	3	59	0	49	1	51	0	52	0	44	0
cell163	0	45	33	14	43	0	19	27	52	6	57	0	46	0	52	1	59	0	49	0	51	0	50	0	48	0	66	1	44	0
cell164	0	49	2	62	25	29	45	0	46	2	64	0	43	0	55	0	9	42	57	0	45	0	52	0	48	0	56	0	52	0
cell165	0	60	35	7	53	1	25	34	42	8	40	1	54	0	42	0	44	0	55	11	53	0	44	0	34	0	49	0	34	9
cell166	0	63	1	53	46	0	55	0	44	0	50	0	70	0	69	0	40	0	48	0	51	0	35	8	43	0	33	18	37	0
cell167	1	45	39	18	46	0	57	0	60	0	52	0	46	0	43	0	46	0	48	0	35	0	44	0	55	0	45	0	32	0
cell168	0	51	39	21	40	0	34	13	56	0	51	0	46	2	58	5	54	0	57	0	39	0	37	0	38	0	52	2	51	0
cell169	0	48	19	26	46	0	30	38	25	22	28	21	45	0	52	0	47	3	40	0	45	2	70	2	46	1	47	5	60	0
cell170	1	62	40	3	62	0	4	40	14	32	18	31	50	0	44	11	47	0	48	0	36	5	48	0	45	0	54	0	43	0
cell171	0	43	53	5	62	0	16	52	34	22	26	15	56	0	43	0	57	0	52	2	58	0	47	3	49	0	40	6	57	0
cell172	0	46	45	10	59	0	25	34	55	1	58	1	42	1	64	0	38	0	38	9	58	0	41	2	54	1	42	0	37	0
cell173	5	53	49	0	49	0	45	0	38	0	49	0	39	17	44	1	47	1	46	0	53	0	48	0	55	0	54	0	49	0
cell174	0	66	44	0	44	0	58	0	38	0	62	0	39	1	50	1	51	0	57	0	51	0	51	0	45	1	28	0	30	0
cell175	0	50	39	7	50	0	50	0	48	0	46	0	45	0	46	0	60	0	51	0	58	1	52	1	52	0	41	0	52	0
cell176	5	52	32	19	48	0	22	30	52	0	55	0	41	12	47	0	46	0	51	0	42	0	51	1	37	4	48	0	50	0
cell177	0	62	45	9	54	0	11	49	10	50	40	0	60	0	71	0	60	0	45	0	37	1	42	0	45	0	45	0	60	0
cell178	0	59	46	0	63	0	48	0	51	0	55	0	25	26	50	0	64	0	59	0	47	4	46	0	44	0	49	1	50	0
cell179	0	41	2	60	58	2	39	4	44	0	45	0	46	0	39	0	45	0	37	0	51	0	49	1	54	0	44	0	53	1
cell180	0	45	53	1	49	0	14	28	43	1	35	0	50	0	47	0	54	0	49	1	45	0	40	0	24	19	56	0	43	2
cell181	0	54	38	14	45	0	31	22	50	0	59	1	47	0	39	0	52	0	59	0	39	16	61	0	39	0	60	2	48	1
cell182	0	56	1	46	59	1	38	0	45	0	43	0	47	0	44	0	61	0	58	0	49	0	26	16	48	0	67	0	47	0
cell183	0	50	13	29	43	0	49	0	52	0	51	0	48	0	45	0	51	0	56	1	52	0	50	0	41	0	20	34	57	0
cell184	1	46	21	27	38	10	59	0	50	2	57	0	47	0	62	0	51	0	43	3	50	0	55	4	57	0	37	4	52	0
cell185	0	56	39	15	51	0	57	0	44	2	56	0	45	0	49	0	40	0	40	0	47	0	34	2	59	1	58	0	46	0
cell186	0	50	40	12	52	0	16	35	45	8	63	1	56	0	55	0	49	0	40	4	43	0	47	0	48	1	40	0	38	0
cell187	0	46	44	12	47	0	54	0	60	0	45	0	61	0	45	3	56	6	46	0	56	0	53	2	52	0	38	12	38	3
cell188	0	47	33	21	48	8	56	0	47	0	57	0	46	2	50	0	58	0	38	0	54	0	54	0	46	0	47	0	45	0
cell189	2	56	2	47	45	0	59	0	43	3	54	3	44	0	45	0	55	0	53	0	52	0	46	0	64	0	52	0	51	0
cell190	0	51	40	0	41	0	52	0	41	3	38	0	51	0	57	0	44	2	58	0	59	0	45	1	48	0	39	0	58	0
cell191	0	53	63	0	44	2	46	0	41	0	53	0	17	52	41	0	49	0	52	0	56	1	53	0	42	0	49	0	49	0
cell192	0	47	13	36	57	2	25	35	57	0	65	0	52	0	45	0	42	0	54	2	22	18	49	0	55	0	40	0	56	1
cell193	0	47	18	23	63	0	23	27	15	26	23	5	45	0	52	0	55	0	51	0	51	0	47	1	39	0	43	1	55	13
cell194	1	49	10	40	19	21	49	3	51	1	56	0	49	0	37	0	38	14	44	0	48	1	45	0	51	0	45	0	43	0
cell195	1	52	53	3	53	0	23	36	32	23	34	6	53	1	57	0	62	0	55	0	56	1	60	0	53	0	42	2	60	0
cell196	1	48	47	4	47	0	5	39	24	32	26	22	49	0	55	0	50	0	42	1	50	0	55	0	36	1	52	0	44	4
cell197	0	53	53	0	46	0	39	0	47	4	50	0	52	0	50	0	64	0	46	0	45	1	59	0	58	0	32	1	46	0
cell198	0	37	51	5	44	0	38	10	37	0	47	0	53	0	39	0	51	0	61	0	48	10	40	3	53	0	47	0	44	0
cell199	0	44	27	33	40	11	55	0	38	0	43	0	53	0	35	2	42	2	51	0	41	0	53	0	52	0	57	1	45	4
cell200	0	57	46	3	56	2	10	45	53	0	48	2	36	0	43	0	54	3	40	0	52	0	53	1	46	3	45	0	59	0
cell201	0	47	36	17	54	0	16	47	59	0	38	0	58	0	47	0	39	1	52	3	55	0	50	0	35	4	41	0	47	0
cell202	0	51	22	19	64	0	61	0	35	2	56	0	50	0	47	0	52	0	58	0	49	0	48	1	42	0	29	15	52	0
cell203	4	49	24	17	52	0	30	22	39	0	42	0	55	3	47	0	53	0	52	0	60	0	40	0	36	4	52	1	52	0
cell204	0	60	11	33	16	20	51	3	44	0	54	0	54	0	54	1	31	22	44	0	43	0	61	0	45	3	57	0	38	0
cell205	0	48	32	19	51	1	15	31	45	7	69	0	34	0	38	0	53	0	50	0	46	0	30	0	42	0	45	0	53	2
cell206	0	62	29	11	55	0	27	38	24	11	37	17	57	0	45	0	51	0	49	0	44	2	60	0	50	0	49	1	51	0
cell207	0	45	17	25	60	0	56	0	52	0	50	0	44	0	41	0	51	0	46	1	53	0	54	2	47	0	30	26	43	0
cell208	0	44	55	0	44	0	46	0	49	0	45	2	17	39	56	2	38	3	49	0	65	0	41	0	52	0	49	1	40	0
cell209	0	55	40	5	62	0	38	17	38	5	40	8	52	0	66	0	48	0	45	0	39	0	49	0	59	0	54	0	58	0
cell210	0	60	2	54	42	0	51	0	48	0	64	0	57	2	39	0	48	0	55	1	47	0	66	0	57	0	40	0	37	0
cell211	0	51	15	37	41	0	55	1	48	1	52	0	41	0	49	0	48	0	36	1	38	0	13	30	52	0	62	0	43	0
cell212	1	59	56	4	54	0	20	29	31	0	49	0	61	0	66	0	47	0	47	0	54	0	51	0	50	0	48	0	54	1
cell213	0	56	28	25	43	1	51	9	58	0	46	0	60	0	32	0	47	0	52	0	43	3	49	0	57	1	43	0	45	0
cell214	0	53	47	7	50	0	4	44	17	23	46	6	40	4	45	0	62	0	44	0	44	0	58	0	46	6	65	0	41	0
