	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell42	0	36	27	29	61	0	34	13	46	9	56	0	56	0	36	2	57	0	51	0	50	0	48	0	57	0	45	0	49	0
cell43	0	58	1	43	31	20	53	0	43	0	47	0	54	0	50	0	56	1	55	0	61	0	17	29	42	0	52	0	35	0
cell44	0	58	22	30	49	0	44	9	49	0	51	0	44	0	44	0	53	0	32	9	52	0	62	1	68	1	25	30	47	0
cell45	0	51	34	7	59	0	26	29	25	14	53	3	47	1	54	0	47	0	49	0	56	0	44	0	51	0	50	0	62	1
cell46	0	46	19	31	66	0	25	29	59	0	50	0	45	0	52	0	65	0	47	0	52	1	49	0	50	0	32	10	46	0
cell47	1	49	36	0	48	1	42	0	49	0	52	0	47	0	48	0	37	0	47	0	45	0	46	0	53	0	54	0	49	0
cell48	0	50	41	9	62	2	31	23	35	11	46	0	47	0	64	0	58	0	56	0	42	0	54	0	44	0	48	4	34	5
cell49	0	54	44	5	38	10	40	3	51	1	58	0	17	36	62	0	43	0	58	0	56	0	53	0	57	0	36	2	53	0
cell50	0	53	40	4	46	0	18	35	52	1	34	0	54	0	52	0	37	0	55	0	55	0	42	0	60	0	61	0	42	0
cell51	1	49	33	17	41	0	22	32	45	12	45	14	49	0	46	0	58	7	56	0	56	2	49	0	43	1	32	13	37	5
cell52	0	46	28	30	59	0	18	12	20	26	53	0	58	2	47	0	43	0	47	0	46	1	61	0	47	4	43	11	46	0
cell53	0	45	52	8	42	0	9	42	22	13	31	15	53	0	56	0	48	0	44	0	39	2	44	0	46	0	35	2	41	0
cell54	0	51	32	13	38	0	1	31	40	16	33	10	64	0	24	21	55	0	47	0	51	0	57	3	64	0	42	4	48	1
cell55	0	57	19	39	55	0	33	10	51	1	51	0	55	0	46	1	58	3	34	5	52	0	39	4	46	0	26	39	53	1
cell56	5	39	19	19	49	0	21	32	40	16	37	19	59	0	42	0	50	0	50	4	51	0	63	0	73	0	22	17	55	0
cell57	0	45	1	54	13	44	41	3	63	9	50	0	39	0	48	0	40	25	33	0	62	0	50	4	58	0	47	0	61	0
cell58	0	45	15	27	51	2	53	0	56	0	50	0	55	0	36	0	45	0	54	0	55	0	39	0	47	0	44	0	47	0
cell59	0	50	26	19	58	0	37	23	46	0	48	0	44	0	58	1	58	0	58	4	45	0	51	0	51	7	35	19	45	0
cell60	0	51	45	14	49	0	44	3	41	2	36	0	56	1	55	0	37	0	36	3	55	0	36	0	36	1	48	0	42	0
cell61	0	55	4	28	51	5	36	0	58	0	51	0	51	0	38	0	52	0	50	2	42	2	14	34	60	0	50	0	56	0
cell62	0	43	29	19	54	0	22	31	49	2	46	0	42	0	67	0	61	0	50	0	54	0	60	4	26	32	31	16	38	4
cell63	0	55	39	12	40	0	27	39	26	33	34	11	40	2	50	0	31	0	50	0	47	2	45	0	48	0	36	13	24	19
cell64	0	52	4	49	9	40	38	3	46	5	51	1	53	2	47	0	53	0	43	0	56	1	50	0	47	0	44	7	53	0
cell65	0	47	1	47	31	2	56	2	50	0	44	0	39	2	46	0	46	0	52	0	43	0	27	15	51	0	55	0	51	0
cell66	0	52	43	13	49	6	39	11	36	1	45	0	46	0	55	0	54	0	43	0	47	0	35	0	60	0	46	0	53	0
cell67	0	53	40	0	51	1	35	17	49	0	49	0	32	23	50	1	52	0	42	0	47	0	53	0	48	0	43	0	49	0
cell68	0	65	27	24	48	0	41	0	53	0	39	0	34	2	49	0	39	0	44	13	41	0	54	1	44	0	55	5	51	1
cell69	1	57	19	31	48	1	38	15	30	23	39	7	54	0	47	0	44	0	55	0	49	0	38	0	53	1	18	30	44	4
cell70	0	54	9	44	8	43	37	0	39	0	60	0	45	0	43	4	49	0	42	0	51	2	54	0	60	0	58	0	42	0
cell71	1	51	29	9	61	0	6	44	53	0	46	0	43	0	47	0	45	1	47	11	60	0	46	0	46	0	38	4	54	2
cell72	0	39	6	38	40	4	59	1	50	0	52	0	57	0	59	0	49	0	42	0	50	0	56	11	60	0	39	0	51	0
cell73	0	38	12	38	26	32	55	0	45	10	49	0	63	0	49	0	37	17	52	0	50	0	40	9	57	0	46	0	45	0
cell74	0	44	46	13	53	0	33	17	58	0	65	0	28	16	48	1	38	0	60	0	49	0	45	0	42	0	50	0	52	0
cell75	0	56	22	26	47	0	27	19	43	23	57	0	53	0	61	0	37	1	53	0	52	0	56	0	38	0	30	19	49	2
cell76	0	48	45	13	44	0	48	16	63	3	49	0	50	0	51	0	51	0	40	0	48	0	42	0	56	0	37	8	45	0
cell77	0	46	19	24	52	1	49	15	36	13	41	9	48	0	61	0	70	0	52	0	57	0	43	4	47	1	28	16	45	0
cell78	0	54	30	23	56	1	51	0	65	0	63	0	39	0	52	0	47	0	34	0	43	0	43	3	51	4	49	0	41	0
cell79	1	42	28	23	56	0	27	30	43	0	47	0	62	0	50	0	45	0	39	0	47	6	49	0	53	2	40	9	53	0
cell80	0	46	32	18	40	0	24	34	61	0	62	0	50	0	57	0	53	0	35	5	54	0	46	2	42	0	31	24	52	2
cell81	0	45	30	18	50	0	35	10	48	0	47	1	51	0	46	0	50	0	44	0	56	1	45	0	76	0	40	7	60	1
cell82	0	40	38	8	36	1	34	17	55	0	49	0	54	0	48	0	39	0	16	23	36	0	43	1	61	0	42	11	60	0
cell83	0	37	45	9	36	1	30	21	58	0	59	0	44	4	48	0	45	0	57	0	45	0	56	0	55	0	36	1	47	0
cell84	0	38	17	28	58	2	36	13	51	0	65	0	47	0	63	0	49	0	51	3	45	0	48	0	50	0	25	24	51	0
cell85	0	56	24	29	42	0	19	19	26	29	25	17	38	2	26	10	45	1	53	0	52	0	59	0	42	0	24	18	47	0
cell86	0	48	23	18	26	20	39	0	47	0	40	2	46	0	40	0	37	0	40	0	52	0	38	5	41	0	49	0	47	0
cell87	0	53	28	14	48	0	24	35	50	0	53	0	39	0	48	0	57	0	47	9	45	2	58	1	43	5	31	11	57	0
cell88	0	51	29	25	50	4	54	1	46	0	54	0	35	3	45	3	60	0	63	0	57	0	44	0	48	1	49	0	39	0
cell89	0	54	21	29	23	32	62	0	44	0	45	1	59	0	44	9	45	0	60	0	50	0	54	0	47	0	57	1	50	0
cell90	0	43	35	18	51	0	33	16	35	1	38	0	38	2	47	1	36	10	40	5	35	16	34	0	56	0	33	10	47	4
cell91	0	52	45	15	41	0	23	33	31	15	43	3	53	1	60	0	47	0	53	0	43	0	60	0	63	0	46	3	62	0
cell92	0	48	32	14	41	6	57	6	47	1	39	0	29	17	43	0	46	0	51	0	46	0	50	0	52	1	51	0	52	0
cell93	1	37	31	11	54	0	26	37	55	0	52	0	68	0	47	0	50	0	52	9	46	0	53	0	51	0	50	5	55	0
cell94	0	45	34	11	57	0	7	35	21	30	33	10	46	0	57	0	46	0	49	0	57	0	30	0	62	0	46	10	40	5
cell95	0	58	0	43	8	47	40	0	55	0	44	0	58	0	64	0	56	0	47	0	39	0	51	0	54	0	47	3	43	0
cell96	0	50	20	24	52	0	31	16	52	0	41	4	50	0	52	0	61	0	47	8	52	4	33	0	46	0	32	18	75	0
cell97	7	44	2	45	57	0	49	0	43	0	36	2	49	0	41	0	40	0	37	0	46	3	41	0	61	0	38	1	39	0
cell98	0	42	22	24	40	0	39	10	51	8	54	0	48	0	50	0	51	0	39	0	48	0	47	0	50	2	43	3	59	1
cell99	0	48	10	30	47	0	45	9	39	3	48	2	55	1	34	0	49	0	52	0	49	0	45	0	55	0	27	19	43	0
cell100	2	49	9	35	48	0	40	7	40	0	53	0	47	0	47	0	44	1	44	2	35	8	55	0	48	0	35	10	42	1
