	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell36	0	46	27	16	48	0	53	0	51	0	52	0	58	3	11	33	37	11	46	0	42	0	41	0	38	0	55	1	42	0
cell37	4	44	20	31	49	0	49	19	61	0	48	0	16	23	60	0	49	0	55	0	60	0	48	0	57	0	51	0	64	0
cell38	0	51	14	32	60	0	44	5	52	0	51	11	42	20	49	0	48	2	46	0	47	2	55	0	54	0	41	0	44	0
cell39	0	47	19	23	43	0	53	0	42	0	52	0	60	0	34	18	54	0	51	0	41	1	38	0	39	18	36	0	50	0
cell40	0	50	4	33	14	31	56	0	26	26	47	0	45	2	51	0	59	1	59	0	48	1	52	0	45	0	58	0	50	0
cell41	1	50	49	0	55	0	47	0	43	1	66	0	42	0	42	0	36	2	57	0	48	0	48	5	54	0	49	0	50	1
cell42	0	50	10	32	35	13	44	3	45	0	48	2	52	0	39	0	49	0	33	18	49	0	52	10	48	0	53	0	50	0
cell43	0	50	40	11	60	0	61	0	40	0	50	0	52	0	5	36	51	0	57	0	53	0	72	0	39	0	36	26	59	0
cell44	0	45	11	41	57	0	45	8	43	0	45	5	51	0	45	0	43	0	50	0	44	0	37	3	58	0	42	0	49	0
cell45	0	51	28	26	19	30	48	0	27	25	41	0	54	0	51	0	48	2	51	5	43	1	50	0	50	0	58	0	53	7
cell46	0	48	4	57	46	2	49	0	51	0	46	0	45	0	51	0	54	0	54	0	57	0	56	0	67	0	43	0	53	0
cell47	0	51	45	6	47	0	51	0	65	0	52	0	39	0	12	42	30	14	53	1	54	0	43	1	40	0	47	6	57	0
cell48	0	48	47	1	50	2	43	0	51	0	47	0	59	0	21	37	49	0	56	0	47	1	45	0	55	4	46	0	45	0
cell49	0	53	45	1	41	0	49	0	45	0	41	0	47	7	10	43	37	30	49	0	52	6	56	0	37	0	32	20	60	2
cell50	0	61	40	4	59	0	53	0	33	0	42	0	61	2	20	25	46	0	45	0	37	1	42	0	42	0	53	0	54	0
