	mut10	mut10	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9
cell87	1	56	24	18	28	20	50	0	60	0	47	0	59	0	55	5	48	0	56	1
cell88	0	48	51	8	60	0	45	1	47	0	46	0	22	33	49	1	46	0	42	0
cell89	0	46	2	39	32	13	41	1	46	6	42	0	51	5	46	0	42	0	50	0
cell90	3	59	33	25	41	0	47	8	51	0	43	0	41	2	44	18	31	3	47	0
cell91	1	50	34	16	55	0	52	0	33	2	52	0	33	3	49	8	60	0	60	0
cell92	0	53	17	35	47	0	60	0	50	0	55	0	43	1	45	0	41	0	49	0
cell93	0	40	38	5	53	6	49	0	52	0	47	3	26	21	46	0	32	0	53	0
cell94	0	39	43	0	44	0	57	0	49	0	49	0	45	0	53	0	43	0	53	0
cell95	0	52	35	8	55	0	44	0	53	0	48	0	30	10	35	18	51	0	50	0
cell96	0	60	5	50	12	25	53	0	41	21	51	0	42	0	55	1	45	0	53	0
cell97	0	62	28	26	59	2	37	5	59	1	56	0	18	43	20	20	45	0	59	0
cell98	0	44	38	12	58	0	52	0	44	6	61	1	13	28	45	0	43	0	42	0
cell99	0	48	40	15	60	0	48	10	56	0	50	0	56	5	26	12	43	3	48	0
cell100	0	45	29	6	53	2	45	1	42	0	40	0	42	8	38	0	53	0	52	1
cell101	0	47	16	31	55	0	47	1	46	1	44	0	24	33	50	0	45	1	42	15
cell102	0	49	50	4	46	0	45	0	38	0	34	0	57	0	41	0	58	0	50	0
cell103	2	56	6	53	10	44	55	0	26	36	54	1	62	0	45	0	52	0	60	0
cell104	0	47	36	22	40	0	47	1	47	3	43	0	42	14	39	9	58	0	37	3
cell105	0	39	29	20	53	0	60	0	48	0	48	3	35	20	50	1	48	0	58	0
cell106	0	57	43	5	40	0	56	1	59	0	49	0	50	0	25	22	52	1	57	0
cell107	0	51	3	53	23	32	48	0	46	0	60	0	52	0	43	0	51	0	45	0
cell108	0	45	55	0	40	0	45	0	56	0	48	0	60	0	55	0	57	4	46	2
cell109	0	55	32	19	61	1	53	0	49	0	45	0	25	24	48	0	57	0	43	0
cell110	0	59	36	17	59	0	34	16	48	0	51	0	38	11	35	16	42	0	54	0
cell111	0	44	71	0	38	0	63	0	46	0	50	0	50	0	40	0	53	0	44	1
cell112	0	60	13	40	41	0	49	6	53	0	51	0	42	1	41	1	51	0	52	0
cell113	5	50	44	10	52	0	46	2	41	0	50	0	53	0	48	8	64	0	38	0
cell114	0	58	47	0	51	2	58	0	53	0	55	0	38	0	48	0	47	0	47	0
cell115	0	59	10	33	49	0	54	0	47	0	22	27	37	9	48	0	40	0	46	0
cell116	0	46	22	22	41	1	42	0	35	0	53	0	46	0	50	0	48	0	52	0
cell117	0	54	14	42	49	1	46	0	53	0	50	3	44	5	55	2	47	2	31	18
cell118	0	53	51	0	50	0	45	8	46	0	54	0	59	0	45	1	50	0	39	0
cell119	0	42	47	6	55	0	47	0	46	0	51	0	26	7	52	2	61	0	35	7
cell120	0	55	12	27	14	30	50	0	60	0	53	4	52	0	54	0	51	0	35	0
cell121	0	64	24	23	28	18	49	0	46	0	46	0	37	0	63	2	61	0	47	0
cell122	0	54	37	0	59	1	49	1	55	0	68	0	38	12	15	41	68	5	39	0
cell123	0	40	19	42	67	1	46	0	49	0	45	5	46	0	52	0	51	0	44	0
cell124	0	64	32	14	54	0	51	0	48	0	37	0	46	3	45	0	38	1	53	1
cell125	0	49	41	14	58	0	44	0	44	1	53	0	24	26	52	0	60	0	49	0
cell126	0	46	44	6	40	0	38	4	57	1	60	0	37	10	19	34	23	27	47	4
cell127	0	40	11	30	43	0	41	7	38	0	55	0	45	6	50	0	52	0	38	0
cell128	0	53	35	15	44	0	37	16	42	0	41	0	59	1	17	18	43	10	40	2
cell129	0	56	43	19	60	2	42	0	45	1	38	2	32	17	44	0	57	0	48	0
cell130	0	47	42	9	50	6	55	0	51	0	43	0	36	23	48	0	57	0	42	0
cell131	0	50	29	26	54	0	42	5	53	0	58	0	33	9	38	17	55	1	64	0
cell132	0	45	49	6	45	0	54	0	43	0	59	0	38	8	24	10	59	0	42	12
cell133	0	57	22	29	44	0	28	27	49	0	53	5	45	7	30	16	39	14	48	0
cell134	0	46	51	0	49	0	59	0	52	0	54	0	50	0	43	11	59	0	40	4
cell135	0	53	43	6	55	1	46	15	37	0	57	0	58	4	25	19	29	11	48	0
cell136	0	44	18	31	48	0	41	0	49	0	59	0	49	1	43	0	58	0	44	0
cell137	0	39	48	0	38	0	56	3	41	3	45	2	44	0	38	0	38	0	58	0
cell138	0	47	37	17	54	0	38	7	51	0	59	1	24	15	47	4	46	0	52	0
cell139	0	44	11	31	13	42	37	3	42	0	34	1	69	0	45	0	56	0	53	0
cell140	0	49	19	38	22	23	53	0	19	25	38	7	49	0	56	4	52	0	63	0
cell141	0	46	6	46	46	5	43	1	41	0	21	19	55	1	33	0	47	0	57	0
cell142	0	43	26	26	52	0	55	0	47	2	45	0	42	13	53	0	61	3	52	0
cell143	2	45	14	25	57	0	32	18	50	0	51	0	44	2	20	23	52	1	62	0
cell144	0	56	27	20	50	0	57	0	52	0	57	0	47	2	54	0	50	0	47	1
cell145	8	28	35	2	47	0	48	0	42	0	53	0	35	12	45	3	63	0	48	3
cell146	0	45	34	16	47	0	46	6	44	2	40	0	44	11	48	4	44	0	48	0
cell147	1	63	3	54	47	6	40	3	48	0	50	0	42	0	47	0	54	0	48	0
cell148	0	48	30	14	46	0	51	1	48	2	44	0	12	27	45	0	49	0	51	0
cell149	1	47	7	53	26	12	49	2	33	18	57	2	54	0	50	1	50	0	55	0
cell150	0	45	7	38	6	47	56	0	39	16	42	1	54	3	50	0	43	0	59	0
cell151	0	55	30	19	47	0	47	1	52	1	31	0	23	28	37	14	46	0	44	0
cell152	0	46	56	0	45	0	49	0	46	0	59	0	50	0	49	0	47	0	64	0
cell153	1	45	29	15	47	0	31	4	49	0	54	0	36	4	34	21	47	12	59	0
cell154	0	39	24	21	57	0	60	0	45	0	48	0	38	2	48	0	46	0	47	5
cell155	0	51	6	42	21	33	49	0	39	12	45	0	38	0	51	0	49	0	47	0
cell156	0	54	37	18	46	0	36	9	55	0	51	1	32	16	33	13	56	1	47	0
cell157	1	41	10	38	44	0	51	0	39	0	61	0	41	0	59	0	52	3	54	0
cell158	0	48	29	16	49	0	60	0	60	0	56	0	44	0	25	25	51	0	71	0
cell159	0	49	20	29	52	0	59	1	48	0	40	9	31	10	59	1	48	0	51	0
cell160	5	43	32	18	51	0	33	12	56	0	54	0	29	19	32	6	57	0	62	0
cell161	0	49	24	17	57	0	32	9	47	0	51	0	55	3	37	4	49	0	39	0
cell162	0	52	28	23	68	0	47	0	47	0	51	2	21	20	65	0	42	2	52	0
cell163	0	59	30	15	49	0	46	1	48	0	59	0	24	28	43	0	42	1	60	0
cell164	0	42	49	6	50	0	41	0	44	0	52	0	16	40	48	0	39	3	57	0
cell165	0	45	0	44	47	10	43	1	47	9	49	2	46	0	51	4	57	0	51	0
cell166	0	56	14	30	42	15	45	2	50	2	43	0	53	0	44	0	50	1	52	0
cell167	0	53	14	44	53	1	42	0	42	0	55	0	36	10	54	0	41	0	57	1
cell168	2	48	45	13	53	0	41	0	49	3	60	0	32	17	29	19	55	0	48	0
cell169	0	62	31	13	48	0	41	0	53	2	51	1	47	6	49	0	46	0	55	0
cell170	0	48	41	24	51	0	45	0	55	2	48	3	49	2	55	0	63	0	45	0
cell171	0	50	25	35	51	0	64	0	56	0	38	0	39	2	51	1	46	0	47	1
cell172	0	55	33	18	51	0	56	0	48	0	47	1	35	21	27	29	50	0	33	6
cell173	0	46	51	9	53	0	41	1	53	0	47	0	28	13	51	3	39	9	46	0
cell174	0	56	46	5	69	0	53	0	49	0	56	4	30	2	51	1	47	0	44	0
cell175	1	43	16	33	42	7	35	0	43	0	44	0	51	0	52	0	53	0	42	0
cell176	2	49	2	51	50	5	51	2	46	0	48	0	46	0	69	0	39	1	62	0
cell177	0	58	36	8	46	0	33	7	32	0	51	0	22	20	39	13	43	11	50	0
cell178	0	60	18	34	24	15	61	0	51	3	57	0	46	0	55	0	52	0	50	0
cell179	0	44	19	26	58	0	51	0	52	0	33	10	42	8	56	0	46	0	52	1
cell180	0	53	18	31	33	17	47	0	42	16	48	0	43	0	57	0	50	0	47	0
cell181	0	67	38	9	47	0	48	0	54	0	43	0	28	30	52	1	45	0	43	0
cell182	0	48	19	32	40	15	47	0	33	11	50	0	53	0	55	2	47	2	65	0
cell183	0	45	54	0	53	0	59	0	47	0	47	0	43	0	38	1	60	0	50	0
cell184	1	59	45	8	46	4	47	0	50	4	51	1	34	12	43	4	53	1	52	1
cell185	0	54	23	29	48	0	43	12	47	2	57	0	32	6	41	1	48	0	45	3
cell186	0	59	41	4	55	0	45	0	45	0	52	4	27	24	43	0	48	0	48	0
cell187	0	60	43	9	55	0	61	0	48	0	30	0	33	18	49	0	44	0	47	0
cell188	0	44	1	57	13	35	54	0	28	21	42	0	54	0	52	0	45	1	46	0
cell189	0	50	30	20	35	1	32	19	51	0	51	0	35	10	58	0	53	0	47	0
cell190	0	37	49	11	59	0	42	4	54	0	54	0	45	12	22	31	53	1	48	0
cell191	6	47	57	7	70	0	57	1	45	0	58	0	53	0	24	18	45	0	46	1
cell192	0	50	23	29	44	1	53	0	51	0	47	0	32	14	62	4	43	0	41	0
cell193	3	43	46	8	52	0	46	0	57	0	55	0	33	19	51	9	52	0	31	15
cell194	0	52	30	16	45	0	47	0	49	1	29	11	40	14	46	0	40	0	51	0
cell195	0	46	29	28	47	1	63	0	59	0	47	2	58	1	50	0	48	0	46	1
cell196	0	42	8	40	31	21	46	0	18	32	59	0	41	1	34	3	57	0	41	0
cell197	0	53	14	52	42	6	40	1	45	0	42	0	50	1	57	1	45	3	52	0
cell198	1	39	52	0	45	2	45	0	47	0	41	1	42	0	54	0	54	0	45	0
cell199	0	47	45	3	53	2	60	0	50	0	55	0	64	0	44	1	50	0	39	0
cell200	0	63	69	2	43	0	54	0	53	1	51	0	44	1	52	1	54	0	42	0
cell201	0	66	35	5	63	0	35	5	58	0	66	1	54	3	20	30	37	0	56	0
cell202	0	40	25	29	51	0	47	2	58	0	31	24	32	13	53	0	58	0	42	0
cell203	4	58	38	0	36	0	54	0	68	0	53	0	51	0	44	0	64	0	49	0
cell204	0	51	30	19	52	0	37	0	51	0	44	3	22	33	49	0	49	0	46	0
cell205	0	47	44	3	44	6	56	0	44	2	48	0	44	0	38	4	43	0	45	0
cell206	1	47	25	20	56	0	34	5	61	1	49	0	43	2	38	4	44	0	43	1
cell207	0	45	15	42	15	24	50	0	38	13	65	1	62	0	42	0	41	1	58	0
cell208	0	44	39	0	46	0	55	0	58	0	58	0	10	33	41	0	63	0	49	0
cell209	1	48	14	28	50	0	50	0	47	0	32	17	38	9	43	0	36	4	53	0
cell210	0	47	34	27	51	3	44	0	49	0	53	0	37	13	45	0	38	0	34	20
cell211	3	40	38	10	57	2	36	0	50	1	37	0	59	0	54	0	50	1	63	0
cell212	0	58	29	23	47	0	48	0	52	5	44	0	48	4	45	7	49	0	55	0
cell213	1	52	32	16	51	0	46	0	47	0	38	7	37	18	34	14	49	0	43	5
cell214	0	52	0	47	25	19	56	0	27	11	48	0	40	0	46	0	38	0	46	0
cell215	0	50	21	31	53	0	58	0	49	0	40	1	44	10	46	2	47	0	28	14
cell216	0	52	31	22	47	0	51	1	43	0	46	0	26	17	51	0	43	0	54	0
cell217	0	43	16	41	52	4	56	0	50	0	27	29	41	6	58	0	41	0	42	0
cell218	0	44	35	14	29	20	60	0	50	0	50	0	43	0	51	0	55	0	50	3
cell219	3	47	43	0	57	0	51	0	40	0	39	11	46	8	52	0	55	0	49	0
cell220	0	60	1	42	6	41	46	2	54	2	40	0	44	0	55	0	45	0	46	1
cell221	0	48	33	10	42	0	58	0	50	0	37	0	20	19	58	1	56	0	43	0
cell222	0	46	31	20	52	1	51	1	41	0	49	0	57	4	27	14	47	0	55	2
cell223	0	44	49	5	47	3	58	1	51	1	43	0	48	0	55	1	49	0	48	0
cell224	1	58	14	42	37	0	62	0	59	0	44	11	31	17	63	0	51	0	49	0
cell225	0	56	27	16	53	0	31	18	49	0	38	0	39	1	28	25	48	8	42	2
cell226	0	68	34	14	43	0	54	0	56	0	45	2	33	12	37	18	46	0	49	0
cell227	1	53	8	50	41	1	61	0	46	0	45	0	51	1	45	1	50	0	48	0
cell228	0	44	21	27	61	0	56	0	42	0	43	0	41	0	37	9	55	0	45	2
cell229	1	39	48	0	68	0	70	0	47	0	59	0	63	0	41	0	48	1	48	0
cell230	0	52	35	11	61	0	50	1	64	0	46	0	44	4	33	31	56	0	51	1
cell231	0	45	3	44	42	0	53	1	48	0	29	19	49	1	47	0	48	0	39	1
cell232	0	46	35	17	48	1	45	3	48	0	51	0	50	0	50	3	42	2	48	0
cell233	0	62	6	57	21	15	45	0	53	4	61	0	56	2	45	3	48	0	44	0
cell234	0	48	38	7	55	0	51	2	47	0	56	1	45	0	51	0	57	2	47	1
cell235	0	49	9	45	18	23	59	0	48	0	38	2	52	0	50	0	35	2	54	2
cell236	0	53	32	14	40	4	43	6	51	4	54	0	25	18	27	12	45	6	48	1
cell237	0	42	35	23	43	1	39	12	41	0	55	3	51	1	43	2	49	11	53	0
cell238	2	50	39	6	44	2	46	0	53	0	57	4	48	14	51	0	41	1	59	0
cell239	0	49	36	0	47	0	50	0	53	0	48	0	55	2	59	0	52	0	44	0
cell240	0	51	19	27	52	0	53	0	51	2	59	0	55	0	43	0	42	0	48	4
cell241	0	44	36	19	44	0	51	0	60	0	46	0	48	5	25	22	40	0	40	1
cell242	0	54	36	12	56	1	54	0	34	13	46	0	37	4	37	14	46	0	40	0
cell243	0	44	36	14	77	0	53	2	46	0	54	0	20	29	20	43	34	19	39	0
cell244	0	47	19	27	54	0	39	24	49	0	47	0	43	8	52	9	50	0	59	0
cell245	0	47	52	0	47	0	39	4	50	1	41	1	21	20	42	8	47	0	54	0
cell246	1	60	52	4	56	0	58	0	49	0	65	0	10	44	59	2	43	1	60	0
cell247	0	40	38	0	47	2	54	0	51	0	46	0	40	10	41	0	56	0	43	0
cell248	0	51	36	19	27	27	53	0	37	21	44	0	62	0	45	0	46	0	44	0
cell249	0	43	44	25	48	1	32	24	42	0	42	0	35	3	24	34	29	24	34	2
cell250	0	55	12	41	28	34	44	0	60	0	45	0	40	0	49	0	55	0	50	0
cell251	0	50	30	17	47	0	52	8	47	4	38	0	44	12	43	6	47	2	55	0
cell252	1	38	16	32	50	0	50	3	47	0	39	0	40	7	50	6	51	0	54	0
cell253	0	60	18	24	60	0	55	0	41	0	32	0	56	4	36	2	42	0	34	5
cell254	0	51	32	7	60	0	30	20	39	0	51	1	39	12	37	12	46	11	69	0
cell255	0	60	12	57	33	6	45	0	41	0	51	0	59	0	50	3	61	0	51	1
cell256	0	51	19	29	31	17	52	0	45	0	47	0	43	1	56	0	59	0	52	0
cell257	0	42	64	0	55	0	44	8	45	2	52	0	56	0	46	0	41	0	52	0
cell258	0	59	33	21	64	0	39	0	41	0	59	0	40	0	58	0	55	0	47	0
cell259	0	38	24	26	49	0	43	21	54	0	53	0	43	16	45	5	58	0	43	2
cell260	0	36	36	11	45	0	54	0	51	0	46	1	28	17	39	3	44	3	52	4
cell261	0	52	37	16	60	0	43	0	32	3	59	0	42	4	46	4	48	1	51	0
cell262	1	54	42	5	43	0	55	0	51	0	52	0	36	3	45	0	54	0	48	0
cell263	0	47	5	37	42	8	45	0	42	0	51	0	55	0	39	0	57	0	47	0
cell264	0	53	25	22	24	31	43	0	55	0	48	0	41	0	46	0	49	0	37	1
cell265	0	39	32	17	51	0	36	7	44	0	49	0	43	1	41	6	47	0	46	1
cell266	0	56	20	39	29	18	41	0	56	0	52	0	41	0	54	1	53	0	48	6
cell267	1	49	17	39	43	0	40	0	50	0	46	0	49	5	43	0	39	0	44	0
cell268	0	64	55	0	52	0	55	1	47	0	49	0	47	2	61	0	63	1	45	0
cell269	5	41	52	0	53	0	35	0	41	0	53	0	47	0	50	1	45	0	57	1
cell270	0	45	35	8	48	0	40	3	46	0	48	0	44	6	46	0	42	0	45	0
cell271	0	46	49	3	47	0	47	0	42	0	53	0	22	26	39	7	46	1	55	0
cell272	2	49	59	2	60	6	61	1	42	0	52	0	49	4	25	30	48	0	47	3
cell273	0	42	31	33	52	0	48	0	43	1	38	3	39	10	36	9	47	0	48	0
cell274	0	58	34	14	55	0	55	4	54	0	42	0	29	17	39	18	26	22	44	3
cell275	0	61	5	54	9	47	34	0	44	0	51	2	52	4	54	0	39	6	38	0
cell276	0	52	13	36	34	0	52	2	60	0	41	0	42	6	37	2	44	2	54	0
cell277	0	47	8	52	36	0	52	0	51	0	58	0	53	3	32	0	51	0	54	0
cell278	0	56	32	14	60	2	45	0	45	0	55	0	44	11	34	9	51	0	50	3
cell279	8	47	14	41	46	0	18	32	59	0	52	0	41	8	34	6	41	0	49	0
cell280	0	44	41	20	37	4	44	0	52	0	61	1	43	4	33	18	48	3	59	0
cell281	0	48	28	25	58	2	46	0	49	0	47	0	67	0	47	0	49	0	51	1
cell282	0	59	32	14	51	0	48	0	43	1	39	0	45	3	52	0	47	0	50	0
cell283	0	41	41	0	51	0	47	0	44	4	43	0	40	0	47	0	49	0	50	2
cell284	0	51	29	15	54	0	48	0	59	3	47	0	35	0	54	0	51	0	41	0
cell285	0	44	33	9	50	0	46	8	39	3	51	0	24	24	41	5	58	0	49	0
cell286	0	46	35	13	54	1	44	1	46	0	56	0	40	6	28	18	50	1	48	0
cell287	0	46	31	27	51	0	53	2	44	0	44	7	66	0	54	1	49	0	52	0
cell288	0	53	8	40	51	0	46	0	47	0	55	0	54	2	42	0	50	0	52	0
cell289	1	43	14	24	39	0	43	0	58	0	50	4	53	0	49	0	43	2	47	2
cell290	0	61	20	33	49	0	37	0	56	0	39	0	23	20	40	1	40	0	42	0
cell291	1	51	37	8	70	1	44	0	45	0	48	0	39	15	59	0	61	0	50	0
cell292	0	56	6	44	48	0	52	1	50	0	49	1	60	0	36	0	47	0	40	1
cell293	0	57	52	0	50	0	59	0	60	0	58	0	52	1	57	0	42	0	43	0
cell294	0	55	15	30	55	1	61	0	40	0	50	4	36	14	59	0	43	1	47	0
cell295	0	40	26	27	43	0	51	0	46	0	53	0	52	0	53	0	49	0	37	0
cell296	0	57	53	0	45	0	48	1	47	0	48	0	59	0	52	0	58	0	38	0
cell297	0	57	25	31	49	11	55	2	44	0	45	2	65	0	51	1	45	1	52	0
cell298	0	53	51	0	49	0	56	0	43	0	44	0	49	0	46	0	54	1	43	0
cell299	4	47	28	28	32	24	47	1	43	4	56	0	53	1	60	0	54	0	52	0
cell300	0	62	44	1	45	0	42	0	51	0	65	0	30	14	43	8	55	0	47	0
cell301	0	43	9	33	31	11	42	1	47	1	48	0	40	0	41	0	50	7	44	0
cell302	0	46	28	14	42	0	55	0	54	0	54	0	46	1	18	11	62	0	53	6
cell303	0	47	24	25	54	2	38	3	42	0	47	0	39	11	43	12	35	0	42	0
cell304	0	46	55	0	46	0	59	0	32	0	50	0	43	2	44	0	53	0	44	0
cell305	0	47	36	16	38	2	67	0	48	0	46	0	55	0	42	0	54	0	41	0
cell306	1	52	20	30	39	11	50	1	48	0	53	0	53	1	46	0	56	0	44	2
cell307	0	45	4	52	20	34	50	0	44	0	45	5	45	4	38	0	52	0	49	3
cell308	0	57	24	29	38	0	49	1	54	0	45	0	53	0	47	0	54	0	57	0
cell309	0	52	40	0	58	0	57	0	56	0	41	0	38	0	47	2	53	0	63	0
cell310	0	49	39	8	36	11	56	0	42	7	34	0	48	0	53	2	55	0	40	0
cell311	0	46	40	12	59	0	47	0	49	0	62	0	41	6	24	18	44	0	39	1
cell312	0	47	35	18	49	0	46	2	52	0	51	9	43	4	48	0	49	0	43	0
cell313	5	51	46	3	47	1	45	11	48	0	45	1	38	24	23	16	45	4	48	0
cell314	0	55	49	14	52	0	50	4	54	2	51	0	44	7	44	18	44	3	36	10
