	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell16	0	51	47	0	63	0	51	0	55	2	1	51	46	2	46	0	49	4	46	0	52	0	53	0	49	0	60	0	57	0
cell17	0	39	59	0	48	4	53	0	52	0	48	4	49	1	66	0	67	0	46	0	54	0	54	0	56	0	52	0	35	1
cell18	0	47	51	0	59	0	51	0	62	0	4	36	45	2	53	0	57	0	54	0	50	0	50	2	49	4	56	1	55	0
cell19	0	37	56	1	57	0	44	0	46	0	11	39	50	9	51	3	27	7	52	0	45	0	50	0	38	0	50	0	43	0
cell20	0	45	58	0	56	0	54	0	45	0	3	48	27	21	46	0	58	0	59	0	62	0	41	7	43	3	51	0	50	0
cell21	0	63	5	47	18	42	30	19	39	17	50	0	55	0	58	0	49	0	42	0	47	5	41	0	45	0	46	0	42	0
cell22	0	44	52	0	44	1	49	2	56	1	38	10	48	0	37	14	53	0	51	0	48	0	41	2	43	0	57	0	49	0
cell23	0	50	11	33	48	0	50	1	48	0	41	8	68	0	42	7	54	0	36	0	46	0	50	0	40	0	39	8	46	0
cell24	0	51	61	0	57	0	39	0	44	0	13	38	51	0	51	0	50	4	34	2	52	0	56	0	44	0	59	0	58	0
cell25	0	52	52	0	49	0	56	0	49	0	34	20	53	0	58	0	44	1	42	0	50	0	48	0	52	0	48	0	59	0
cell26	0	53	48	0	62	0	56	0	43	0	16	40	54	13	61	0	44	15	43	0	48	0	36	0	56	2	56	0	54	1
cell27	0	48	58	0	54	0	53	0	48	3	0	55	42	16	43	0	42	5	46	5	41	0	60	0	51	0	42	0	42	0
cell28	0	51	65	0	53	0	56	0	40	0	3	49	40	4	55	0	41	1	44	0	54	0	22	35	43	0	44	0	50	0
cell29	0	46	45	5	48	0	44	0	62	0	3	35	31	19	45	0	41	0	52	0	48	0	46	12	34	6	45	0	49	0
cell30	0	43	23	33	51	0	31	1	47	0	56	0	40	0	40	0	46	0	66	0	44	0	42	6	52	0	21	33	60	0
cell31	0	64	47	0	45	0	48	0	39	3	18	28	41	0	32	14	60	0	51	0	52	0	42	0	37	0	42	0	51	0
cell32	0	49	49	1	42	0	43	0	72	0	5	51	25	35	47	0	54	0	51	0	46	0	41	18	34	6	54	0	50	0
cell33	0	42	22	36	35	36	22	22	40	0	40	0	54	1	51	1	56	0	49	0	40	0	58	1	58	0	48	0	45	0
cell34	4	45	50	1	49	0	56	0	53	0	3	50	51	7	63	0	55	0	47	0	42	0	51	8	47	0	51	0	40	0
cell35	0	55	1	46	44	0	43	0	50	0	42	0	56	1	60	1	53	3	52	0	54	0	44	0	44	1	40	17	41	0
cell36	0	38	43	0	51	1	55	1	45	0	20	42	30	20	44	0	43	0	57	0	53	0	70	0	53	0	53	0	50	8
cell37	0	54	21	43	23	28	43	10	38	9	54	0	49	1	47	0	45	0	51	0	64	0	66	0	49	0	51	2	54	2
cell38	3	55	58	0	57	0	43	0	56	0	21	27	24	29	52	1	43	6	34	12	53	1	43	0	44	0	47	0	42	0
cell39	0	49	50	0	31	0	48	0	49	0	7	40	35	13	44	0	47	0	57	1	49	0	54	0	51	0	51	2	42	2
cell40	1	50	46	1	59	0	53	0	49	0	40	5	38	0	60	0	53	0	51	0	45	0	43	0	51	0	46	0	55	0
cell41	0	54	47	0	59	0	39	0	47	2	22	25	61	0	32	17	45	0	55	0	50	0	35	2	41	0	41	0	52	0
cell42	0	50	56	0	54	0	53	0	46	0	1	48	34	1	49	1	32	9	52	0	41	0	44	1	43	7	45	1	49	0
cell43	0	55	40	9	48	9	45	0	41	0	45	0	41	0	45	0	47	1	42	4	54	1	54	0	54	0	58	0	45	3
cell44	6	45	50	0	54	0	58	0	54	0	10	26	33	23	40	1	50	0	56	1	66	1	45	6	57	0	73	0	53	0
cell45	0	44	43	0	42	0	51	0	52	0	14	25	22	29	47	0	38	0	40	2	51	1	54	0	44	0	59	0	33	26
cell46	3	62	20	29	49	0	54	0	44	0	54	0	37	1	46	0	50	0	55	0	60	1	51	0	53	0	48	0	40	0
cell47	0	46	48	0	54	0	46	0	42	0	32	13	58	1	41	0	50	1	43	0	45	1	51	0	42	12	40	2	56	0
cell48	0	41	54	0	48	0	51	0	47	1	33	8	63	1	52	7	43	2	49	9	48	0	57	0	49	0	51	0	53	0
cell49	0	41	17	34	27	22	54	1	55	0	49	0	45	0	50	0	52	0	51	4	59	0	53	0	37	0	57	0	50	0
cell50	0	48	12	37	47	0	45	0	50	5	55	0	46	0	49	0	49	0	60	0	47	0	56	0	43	0	60	0	53	1
