	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell35	2	47	24	18	50	0	15	52	36	24	29	10	51	0	28	10	49	1	58	0	55	0	55	0	49	0	53	10	48	1
cell36	1	53	30	22	50	0	49	0	57	0	46	0	45	0	44	0	58	1	53	0	50	0	58	0	65	0	44	0	49	0
cell37	0	38	41	19	49	0	26	19	42	0	50	0	52	0	55	1	48	0	45	2	46	0	66	0	57	0	43	10	61	0
cell38	0	38	37	16	52	0	14	42	29	9	34	15	51	0	32	16	58	0	44	0	64	0	66	0	49	0	50	0	46	5
cell39	1	50	36	4	48	0	14	28	40	16	30	15	45	0	34	12	43	0	53	0	64	0	49	0	50	0	48	0	61	0
cell40	0	70	26	26	30	27	27	20	48	0	43	1	45	0	54	0	29	24	53	4	49	2	65	0	60	3	39	0	52	0
cell41	0	47	5	29	30	13	35	11	55	0	48	1	41	0	43	0	47	4	56	0	57	0	43	0	47	0	62	0	50	0
cell42	0	45	39	0	53	0	49	0	55	0	49	0	23	30	46	0	50	0	40	0	58	0	61	0	62	0	50	0	53	4
cell43	1	52	10	30	39	15	45	3	41	1	55	0	53	1	45	0	47	1	50	0	44	1	44	4	47	1	51	0	45	1
cell44	5	45	28	16	57	0	36	9	76	0	47	0	58	3	39	1	46	0	35	2	50	1	55	0	49	0	28	26	48	0
cell45	0	39	36	3	36	0	25	19	54	7	53	0	60	0	37	0	54	0	37	0	49	2	58	0	59	0	47	1	48	0
cell46	0	45	0	57	45	0	56	0	55	0	37	0	47	0	37	1	45	0	60	0	49	0	51	0	63	2	47	0	62	1
cell47	0	49	33	21	45	0	45	3	50	0	48	1	51	0	56	0	52	1	42	0	38	0	55	0	42	0	40	0	36	0
cell48	0	46	43	10	52	0	9	50	42	0	42	0	47	0	45	3	41	0	46	0	39	0	47	0	42	0	46	0	35	5
cell49	0	37	25	15	52	0	29	14	41	0	49	0	44	3	53	0	42	0	38	10	58	1	50	0	53	0	35	4	48	0
cell50	1	56	35	21	47	0	10	49	22	26	29	13	57	0	51	0	54	0	54	0	54	1	46	0	54	0	33	5	48	0
