	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell38	0	43	12	44	33	16	27	34	52	4	32	12	36	22	37	6	47	0	64	0	42	0	49	3	48	1	55	0	60	0
cell39	1	42	48	6	37	0	41	0	41	4	56	0	54	0	39	5	47	0	43	12	51	0	44	0	58	0	53	0	47	0
cell40	0	63	19	25	43	6	54	7	35	0	54	0	43	1	51	0	55	3	19	27	56	0	53	0	39	16	39	0	52	0
cell41	1	46	11	30	52	0	64	0	37	29	50	0	54	0	40	0	38	0	32	6	42	0	54	0	54	0	58	0	38	0
cell42	0	37	16	33	44	1	35	21	54	2	36	10	41	3	42	2	61	0	54	0	59	1	47	0	57	0	50	1	45	7
cell43	0	55	2	37	32	14	22	19	49	0	26	21	29	6	54	1	41	0	49	6	51	4	48	0	52	0	51	0	45	0
cell44	0	48	41	7	46	0	48	0	54	4	43	0	42	9	52	1	43	0	4	60	60	0	46	0	61	0	55	0	45	0
cell45	0	56	22	28	45	0	50	0	49	0	49	0	47	0	49	0	45	5	42	7	44	0	37	0	57	0	43	0	47	0
cell46	0	42	42	2	58	0	56	0	44	0	56	0	56	0	51	0	43	0	31	16	57	0	55	0	51	0	49	0	48	0
cell47	0	52	61	1	50	0	46	0	43	1	46	0	49	0	44	1	46	2	66	0	40	0	51	0	47	0	46	0	55	1
cell48	0	71	29	26	32	13	47	0	65	0	47	0	58	0	46	0	49	0	52	4	33	4	52	0	54	4	51	5	52	0
cell49	0	49	13	44	43	13	56	11	43	0	44	3	52	0	36	0	64	0	56	3	43	0	56	0	35	4	59	0	42	0
cell50	0	47	21	31	51	0	53	0	30	10	39	4	43	0	54	0	38	10	43	11	43	8	56	0	56	0	49	0	53	5
