	mut15	mut15	mut1	mut1	mut2	mut2	mut3	mut3	mut4	mut4	mut5	mut5	mut6	mut6	mut7	mut7	mut8	mut8	mut9	mut9	mut10	mut10	mut11	mut11	mut12	mut12	mut13	mut13	mut14	mut14
cell27	0	45	63	0	40	0	46	0	30	0	4	31	49	4	37	3	44	0	53	0	57	0	45	0	59	2	38	6	53	0
cell28	0	49	52	0	62	0	55	0	48	0	6	43	25	15	38	18	46	0	41	0	53	1	43	0	56	0	51	0	42	0
cell29	0	50	37	1	41	1	48	0	41	1	6	43	45	12	38	5	42	2	53	0	55	0	38	11	37	12	51	0	52	2
cell30	0	51	45	3	58	0	51	0	49	0	10	52	53	0	42	11	18	23	58	0	50	0	41	0	33	0	40	0	58	0
cell31	2	39	47	1	46	0	51	0	46	2	13	36	39	7	44	15	49	8	70	0	44	0	54	0	66	0	40	0	55	0
cell32	0	58	11	31	58	0	45	0	56	0	46	0	44	1	57	0	53	0	54	0	54	0	50	1	51	0	45	0	49	0
cell33	1	50	49	0	58	0	59	2	45	0	1	42	47	0	49	1	41	1	56	1	45	5	60	0	61	0	43	8	38	0
cell34	0	37	30	1	48	0	49	0	39	0	12	44	48	4	39	20	35	4	50	1	42	0	58	0	33	0	54	4	54	0
cell35	0	65	43	0	49	0	37	3	48	0	45	0	45	0	43	0	41	0	48	0	52	0	60	0	41	0	58	0	64	0
cell36	0	51	61	0	49	2	48	0	46	0	12	37	42	4	53	1	22	24	52	0	67	0	61	0	57	1	57	0	49	0
cell37	0	41	11	45	25	23	48	11	35	16	58	0	35	0	46	0	61	0	54	0	43	0	49	0	63	0	43	15	38	0
cell38	0	46	1	44	42	12	42	3	53	0	40	0	52	1	48	0	50	1	46	0	40	0	37	0	60	0	30	25	44	0
cell39	0	55	63	0	47	0	53	0	46	0	22	36	63	0	42	0	39	5	41	0	52	1	58	0	53	0	37	0	54	3
cell40	0	56	7	57	49	0	55	0	52	0	55	2	56	0	57	0	33	0	52	0	52	0	46	0	53	0	44	0	45	1
cell41	0	44	50	0	46	0	55	0	66	0	3	28	41	4	25	14	37	7	41	12	51	2	41	0	50	0	46	0	50	0
cell42	0	48	37	0	63	0	44	0	47	0	10	45	39	8	58	1	44	13	47	0	41	0	37	2	38	1	49	0	40	2
cell43	0	39	48	0	56	0	65	0	63	0	22	25	53	7	44	2	41	23	48	0	43	0	30	15	51	0	49	0	48	1
cell44	0	56	45	2	48	1	42	0	54	0	15	41	39	13	33	0	15	32	48	0	50	0	44	0	44	0	48	0	33	11
cell45	0	41	60	0	40	0	44	0	52	0	42	0	42	0	40	0	45	0	48	0	52	0	59	0	45	0	33	0	44	0
cell46	0	45	44	0	60	0	35	3	37	0	20	35	36	9	46	2	36	5	39	0	65	0	51	0	53	0	50	0	40	13
cell47	0	49	5	32	45	10	53	0	47	0	56	0	55	0	33	3	42	0	51	1	53	0	46	0	49	0	24	15	45	3
cell48	1	47	57	0	57	0	56	0	51	0	3	46	47	1	50	1	40	13	55	0	53	0	54	4	55	0	41	0	41	3
cell49	0	57	31	17	37	20	31	18	45	6	43	11	48	0	40	0	52	0	52	0	51	0	42	0	53	0	39	11	40	3
cell50	0	54	45	0	46	0	56	0	50	0	5	39	29	26	35	9	49	2	57	0	36	0	37	8	48	0	52	0	41	20
cell51	1	42	8	40	38	11	34	1	46	0	41	0	53	0	40	0	46	0	51	0	65	0	59	0	38	0	39	12	42	0
cell52	0	53	48	0	54	0	61	0	48	7	26	23	43	2	46	3	47	2	54	11	50	0	57	0	36	0	39	1	44	2
cell53	0	56	17	38	42	4	40	0	62	0	69	0	44	0	47	0	48	0	51	1	56	1	48	0	43	0	48	0	55	0
cell54	0	55	28	17	37	20	58	0	36	0	55	0	62	0	54	0	40	0	55	0	45	0	45	4	57	0	45	0	62	0
cell55	0	52	50	0	51	0	41	0	45	0	20	32	56	0	28	8	50	9	56	0	57	0	54	0	63	0	42	0	54	0
cell56	0	54	4	49	44	3	51	0	55	0	42	2	45	0	43	1	41	0	49	0	57	0	48	0	42	0	56	0	61	0
cell57	1	47	54	0	48	0	38	0	55	0	5	42	46	6	39	7	42	10	35	5	56	3	55	0	52	0	43	0	47	0
cell58	0	48	52	1	52	0	51	0	35	0	3	39	24	18	33	8	47	0	55	0	58	0	37	5	51	0	55	0	26	22
cell59	1	51	50	0	63	4	56	1	56	0	5	50	46	0	64	0	21	28	48	0	51	0	45	4	43	0	59	0	53	0
cell60	0	69	50	0	30	0	38	0	39	0	50	0	50	0	50	0	42	0	53	0	39	0	49	3	45	6	49	3	56	0
cell61	1	46	65	2	56	0	52	0	40	0	50	0	58	0	55	0	44	0	45	0	44	1	53	1	44	0	47	0	58	0
cell62	1	53	41	0	40	0	51	0	44	6	0	48	51	14	35	22	50	6	55	0	52	4	47	3	44	0	41	0	43	0
cell63	0	53	45	0	62	0	53	0	56	0	6	38	41	10	34	8	37	6	52	5	51	0	48	0	50	0	65	0	65	1
cell64	0	49	56	1	32	2	45	0	58	0	1	51	52	0	41	0	52	0	46	3	50	0	42	0	36	0	54	0	47	0
cell65	0	44	42	0	48	0	45	1	55	0	19	33	43	9	47	1	33	10	46	0	37	0	37	15	45	3	54	0	53	0
cell66	4	55	50	0	53	0	53	0	51	0	34	19	59	0	49	0	56	0	51	0	57	0	36	0	55	0	46	0	52	0
cell67	0	54	52	0	60	0	60	0	45	0	14	36	18	29	28	12	43	6	38	0	43	2	53	1	52	0	43	0	30	29
cell68	5	43	17	26	39	12	55	0	43	0	44	6	48	0	56	0	36	6	44	0	50	1	66	0	58	0	40	12	48	0
cell69	0	55	46	0	44	0	50	0	46	0	1	56	39	4	49	3	35	1	59	0	54	0	25	18	36	13	45	0	57	1
cell70	0	55	53	0	69	0	57	0	45	0	13	32	32	11	44	0	44	0	62	0	65	0	48	0	54	0	40	0	36	1
cell71	13	42	51	0	53	2	55	0	56	1	26	25	55	4	43	13	42	5	49	1	46	0	44	11	53	0	40	0	49	0
cell72	0	58	11	42	35	9	51	2	48	0	48	5	46	1	42	0	46	0	61	1	33	3	54	0	65	0	35	2	38	0
cell73	0	38	54	0	35	0	53	1	53	0	1	47	46	12	18	41	43	0	48	0	52	0	59	0	52	0	56	0	36	0
cell74	1	45	7	39	29	20	33	14	38	4	60	0	63	0	43	0	48	0	55	0	67	0	58	0	41	0	46	8	57	0
cell75	0	42	46	0	41	2	50	0	52	0	54	0	49	0	56	0	56	0	46	3	53	0	65	0	58	0	45	0	50	0
cell76	5	54	29	11	42	0	56	2	46	0	53	0	60	0	60	1	55	0	41	0	54	0	56	0	48	0	48	0	45	0
cell77	1	43	36	2	50	0	55	0	55	0	12	47	46	7	47	9	58	0	55	0	40	0	43	12	48	0	61	0	63	0
cell78	0	50	2	56	13	31	49	16	53	0	50	2	46	1	57	0	41	2	39	0	41	0	64	0	42	0	35	3	39	0
cell79	6	64	49	0	61	0	42	0	47	0	18	27	23	13	35	6	47	0	44	2	55	0	43	0	56	0	47	9	39	0
cell80	1	37	13	30	24	28	53	0	49	1	53	0	50	0	42	0	57	0	52	0	49	3	51	2	50	0	54	0	54	0
cell81	0	65	52	0	44	0	40	1	50	0	40	5	50	0	44	0	51	0	56	0	44	0	49	0	51	0	42	0	41	0
cell82	1	42	54	0	50	0	52	0	66	0	14	37	38	10	62	0	46	0	57	1	50	0	48	1	49	0	43	0	43	0
cell83	0	46	34	10	38	14	50	0	46	0	42	0	66	0	53	0	58	0	50	0	57	0	53	0	56	0	27	19	50	0
cell84	0	57	43	0	47	0	50	0	45	0	1	48	42	6	48	11	41	14	50	0	48	0	28	18	37	12	51	0	49	2
cell85	0	52	46	0	45	0	41	2	42	4	7	42	24	34	37	0	54	0	41	0	57	0	41	2	48	0	38	0	53	0
cell86	1	45	6	40	13	31	38	13	49	3	33	0	42	0	47	0	46	1	38	2	37	7	50	5	50	0	32	9	47	1
cell87	2	67	5	38	45	3	48	0	56	0	44	2	45	0	54	0	51	1	51	0	42	0	41	0	34	0	58	0	39	0
cell88	0	58	10	44	49	0	62	0	48	0	50	1	46	2	41	0	60	0	63	0	45	4	52	0	60	0	62	0	48	0
cell89	0	50	60	0	50	0	54	0	44	0	2	43	42	1	30	3	47	3	56	0	52	0	42	7	52	0	48	0	45	0
cell90	0	56	46	0	52	3	65	0	48	0	53	0	48	0	41	0	59	0	43	0	47	0	35	0	45	0	46	0	57	0
cell91	5	53	39	0	52	3	68	0	42	0	2	50	50	8	41	13	53	1	47	7	42	12	58	1	38	0	37	0	42	0
cell92	1	50	48	6	49	0	53	0	51	0	13	23	47	5	48	3	32	10	46	10	64	0	44	0	38	0	43	0	43	0
cell93	0	49	4	52	14	34	41	12	39	4	67	1	50	0	35	1	45	0	43	0	55	0	48	0	46	0	47	5	53	0
cell94	0	57	51	0	54	0	55	1	53	0	0	46	53	0	50	0	50	2	41	2	44	11	48	0	50	0	50	0	43	0
cell95	0	49	48	1	50	0	41	0	41	0	41	3	50	0	49	1	48	0	36	0	44	0	44	0	59	1	43	0	40	1
cell96	0	54	49	1	61	0	42	1	42	0	5	43	53	3	50	2	38	16	43	1	45	0	54	0	57	2	53	0	39	1
cell97	0	55	39	0	43	0	48	1	40	3	13	38	30	22	43	4	63	6	48	0	51	0	53	0	61	0	46	0	49	0
cell98	1	47	43	0	41	13	49	2	59	0	34	13	63	3	57	5	44	3	44	1	45	0	56	4	46	0	54	0	62	0
cell99	0	43	54	3	30	4	35	0	52	0	2	33	44	11	47	9	38	21	38	2	50	8	48	2	47	0	47	2	40	0
cell100	1	47	55	0	56	0	52	0	68	0	6	30	30	11	31	21	51	0	55	2	42	0	43	0	37	4	45	0	50	0
